date,open,high,low,close,volume,unadjustedVolume,change,changePercent,vwap,label,changeOverTime
2017-03-16,140.72,141.02,140.26,140.69,19231998,19231998,0.23,0.164,140.6258,"Mar 16, 17",0.951049717167823
2017-03-17,141,141,139.89,139.99,43884952,43884952,-0.7,-0.498,140.4725,"Mar 17, 17",0.9413423122206523
2017-03-20,140.4,141.5,140.23,141.46,21542038,21542038,1.47,1.05,141.0425,"Mar 20, 17",0.9617278626097112
2017-03-21,142.11,142.8,139.73,139.84,39529912,39529912,-1.62,-1.145,141.1358,"Mar 21, 17",0.9392621540176871
2017-03-22,139.845,141.6,139.76,141.42,25860165,25860165,1.58,1.13,140.8611,"Mar 22, 17",0.9611731537555869
2017-03-23,141.26,141.5844,140.61,140.92,20346301,20346301,-0.5,-0.354,140.9998,"Mar 23, 17",0.9542392930790362
2017-03-24,141.5,141.74,140.35,140.64,22395563,22395563,-0.28,-0.199,141.0763,"Mar 24, 17",0.9503563311001678
2017-03-27,139.39,141.22,138.62,140.88,23575094,23575094,0.24,0.171,140.3958,"Mar 27, 17",0.9536845842249123
2017-03-28,140.91,144.04,140.62,143.8,33374805,33374805,2.92,2.073,142.8423,"Mar 28, 17",0.9941783305759684
2017-03-29,143.68,144.49,143.19,144.12,29189955,29189955,0.32,0.223,143.8338,"Mar 29, 17",0.9986160014089607
2017-03-30,144.19,144.5,143.5,143.93,21207252,21207252,-0.19,-0.132,143.9743,"Mar 30, 17",0.9959811343518714
2017-03-31,143.72,144.27,143.01,143.66,19661651,19661651,-0.27,-0.188,143.8125,"Mar 31, 17",0.9922368495865339
2017-04-03,143.71,144.12,143.05,143.7,19985714,19985714,0.04,0.028,143.6412,"Apr 3, 17",0.9927915584406579
2017-04-04,143.25,144.89,143.17,144.77,19891354,19891354,1.07,0.745,144.262,"Apr 4, 17",1.0076300202884765
2017-04-05,144.22,145.46,143.81,144.02,27717854,27717854,-0.75,-0.518,144.793,"Apr 5, 17",0.9972292292736507
2017-04-06,144.29,144.52,143.45,143.66,21149034,21149034,-0.36,-0.25,143.9286,"Apr 6, 17",0.9922368495865339
2017-04-07,143.73,144.18,143.27,143.34,16658543,16658543,-0.32,-0.223,143.7078,"Apr 7, 17",0.9877991787535416
2017-04-10,143.6,143.8792,142.9,143.17,18933397,18933397,-0.17,-0.119,143.3663,"Apr 10, 17",0.9854416661235141
2017-04-11,142.94,143.35,140.06,141.63,30379376,30379376,-1.54,-1.076,141.424,"Apr 11, 17",0.9640853752397383
2017-04-12,141.6,142.15,141.01,141.8,20350000,20350000,0.17,0.12,141.5394,"Apr 12, 17",0.9664428878697657
2017-04-13,141.91,142.38,141.05,141.05,17822880,17822880,-0.75,-0.529,141.7929,"Apr 13, 17",0.9560420968549397
2017-04-17,141.48,141.88,140.87,141.83,16582094,16582094,0.78,0.553,141.4109,"Apr 17, 17",0.9668589195103587
2017-04-18,141.41,142.04,141.11,141.2,14697544,14697544,-0.63,-0.444,141.4686,"Apr 18, 17",0.9581222550579046
2017-04-19,141.88,142,140.45,140.68,17328375,17328375,-0.52,-0.368,141.2098,"Apr 19, 17",0.9509110399542922
2017-04-20,141.22,142.92,141.16,142.44,23319562,23319562,1.76,1.251,142.2936,"Apr 20, 17",0.9753182295357503
2017-04-21,142.44,142.68,141.85,142.27,17320928,17320928,-0.17,-0.119,142.2596,"Apr 21, 17",0.9729607169057233
2017-04-24,143.5,143.95,143.18,143.64,17134333,17134333,1.37,0.963,143.6671,"Apr 24, 17",0.9919594951594718
2017-04-25,143.91,144.9,143.87,144.53,18871501,18871501,0.89,0.62,144.5049,"Apr 25, 17",1.0043017671637322
2017-04-26,144.47,144.6,143.3762,143.68,20041241,20041241,-0.85,-0.588,144.0372,"Apr 26, 17",0.9925142040135961
2017-04-27,143.9225,144.16,143.31,143.79,14246347,14246347,0.11,0.077,143.6781,"Apr 27, 17",0.994039653362437
2017-04-28,144.09,144.3,143.27,143.65,20860358,20860358,-0.14,-0.097,143.7273,"Apr 28, 17",0.992098172373003
2017-05-01,145.1,147.2,144.96,146.58,33602943,33602943,2.93,2.04,146.2707,"May 1, 17",1.03273059593759
2017-05-02,147.54,148.09,146.84,147.51,45352194,45352194,0.93,0.634,147.4514,"May 2, 17",1.045627576795974
2017-05-03,145.59,147.49,144.27,147.06,45697034,45697034,-0.45,-0.305,146.1993,"May 3, 17",1.0393871021870784
2017-05-04,146.52,147.14,145.81,146.53,23371872,23371872,-0.53,-0.36,146.3313,"May 4, 17",1.0320372098699349
2017-05-05,146.76,148.98,146.76,148.96,27327725,27327725,2.43,1.658,148.2206,"May 5, 17",1.065735772757971
